,affiliationid,country
0,746986,SWE
1,1479568,IND
2,6141010,ITA
3,7870586,GBR
4,8408910,GBR
5,10108838,ARG
6,23171815,CHN
7,28442235,USA
8,28777237,JPN
9,45438204,USA
10,47396830,USA
11,48368600,ISR
12,49185572,CHN
13,51195161,FRA
14,53298266,BLR
15,55486353,USA
16,56179063,USA
17,57496824,IND
18,60054993,IND
19,61057504,CHN
20,62709064,BGR
21,67357951,IND
22,68631920,USA
23,69369455,USA
24,70542479,CHN
25,72054575,GBR
26,73650269,JPN
27,74776132,UKR
28,75124487,POL
29,78147621,IND
30,79172759,DEU
31,80849659,BRA
32,91993116,BEL
33,111575329,IND
34,113330528,AZE
35,114602248,IND
36,115602675,CHE
37,120110088,BRA
38,127671586,USA
39,128193699,SVK
40,132548689,NOR
41,134118262,USA
42,137377929,GBR
43,138211613,AUT
44,140940799,TUR
45,140963716,RUS
46,141988045,USA
47,142471025,AUS
48,143920789,IND
49,144428437,DEU
50,145608581,USA
51,149198916,IND
52,149432773,IND
53,149581226,USA
54,153330799,USA
55,157417397,USA
56,160932699,PSE
57,161103922,DEU
58,163289460,GBR
59,163605200,JPN
60,169541294,AUS
61,173664879,USA
62,177156846,USA
63,179863766,NOR
64,181934358,JPN
65,198243066,CRI
66,200280692,UKR
67,207168215,USA
68,215048945,GBR
69,231847692,COL
70,235176910,IND
71,254656069,USA
72,266833301,DEU
73,872071967,
74,875226783,USA
75,875539156,USA
76,894554748,USA
77,902996294,IND
78,912052591,TZA
79,922094183,USA
80,931278978,LVA
81,1284657591,USA
82,1288435858,POL
83,1288835491,USA
84,1300393620,POL
85,1301508284,USA
86,1303603819,CAN
87,1309362793,USA
88,1315181785,USA
89,1316910977,USA
90,1318727132,ESP
91,1322124587,USA
92,1324823630,USA
93,1325736334,USA
94,1329778081,CAN
95,1340975617,USA
96,2799487676,USA
97,2799538093,GBR
98,2799742747,ZAF
99,2800024560,
100,2800119247,AUT
101,2800120229,IND
102,2800479503,JPN
103,2800720467,USA
104,2800774789,ROU
105,2800810863,HKG
106,2800905768,JPN
107,2801170595,USA
108,2801339391,SAU
109,2801680486,USA
110,2801754744,USA
111,2801808499,USA
112,2802028098,CHE
113,2802045936,GBR
114,2802082475,
115,2802302920,IDN
116,2802675445,ZAF
117,2802677779,CHN
118,2802828768,GBR
119,2802997912,USA
120,2803049109,IND
121,2897606047,USA
122,10180231,EGY
123,16518940,HKG
124,24185976,CHN
125,25859482,JPN
126,26836456,IND
127,40204679,NOR
128,41810378,USA
129,48780066,CHN
130,50310733,PRT
131,52727693,JPN
132,54794908,FRA
133,57341705,FRA
134,65081225,CHN
135,76756774,USA
