University;Country;university_normalized;matched;
All India Institute of Medical Science;India;all india institute of medical science;TRUE;
Army Medical University;China;army medical university;FALSE;
Augusta University;United States;augusta university;TRUE;
Autonomous University of Nuevo Leon;Mexico;autonomous university of nuevo leon;TRUE;
Babeș-Bolyai University;Romania;babes-bolyai university;FALSE;this is in MAG, but maybe not in our mag2020 set?
Beijing University of Posts & Telecommunications;China;beijing university of posts & telecommunications;TRUE;
Binghamton University, State University of New York;United States;binghamton university, state university of new york;TRUE;
Carl von Ossietzky University of Oldenburg;Germany;carl von ossietzky university of oldenburg;TRUE;
Carlos III University of Madrid;Spain;carlos iii university of madrid;TRUE;
Changzhou University;China;changzhou university;FALSE;
Charles University;Czech Republic;charles university;TRUE;
China Academy of Chinese Medical Sciences;China;china academy of chinese medical sciences;FALSE;
China Medical University;China;china medical university;TRUE;
China Medical University, Taiwan;Taiwan;china medical university, taiwan;TRUE;
China University of Petroleum Beijing;China;china university of petroleum beijing;TRUE;MAG has only one entry, not distinguishing between beijing and east china
China University of Petroleum East China;China;china university of petroleum east china;TRUE;MAG has only one entry, not distinguishing between beijing and east china
Chinese University of Hong Kong;China;chinese university of hong kong;TRUE;
City, University London;United Kingdom;city, university london;TRUE;
Claude Bernard Lyon 1 University;France;claude bernard lyon 1 university;TRUE;
College of William and Mary;United States;college of william and mary;TRUE;
Eberhard Karls University of Tübingen;Germany;eberhard karls university of tubingen;TRUE;
Eidgenössische Technische Hochschule Zürich;Switzerland;eidgenossische technische hochschule zurich;TRUE;
Federal University of Lavras;Brazil;federal university of lavras;TRUE;
Federal University of Mato Grosso;Brazil;federal university of mato grosso;TRUE;
Federal University of Pelotas;Brazil;federal university of pelotas;TRUE;
Federal University of Rio Grande do Sul;Brazil;federal university of rio grande do sul;TRUE;
Federal University of Santa Maria;Brazil;federal university of santa maria;TRUE;
Freie Universität Berlin;Germany;freie universitat berlin;TRUE;
Friedrich Schiller University Jena;Germany;friedrich schiller university jena;TRUE;
Friedrich-Alexander-Universität Erlangen-Nürnberg;Germany;friedrich-alexander-universitat erlangen-nurnberg;TRUE;
Gabriele D'Annunzio University;Italy;gabriele d'annunzio university;TRUE;
Georg-August-Universität Göttingen;Germany;georg-august-universitat gottingen;TRUE;
Gottfried Wilhelm Leibniz Universität Hannover;Germany;gottfried wilhelm leibniz universitat hannover;TRUE;
Gwangju Institute of Science & Technology;South Korea;gwangju institute of science & technology;TRUE;
Hasselt University;Belgium;hasselt university;TRUE;
Heinrich Heine University Düsseldorf;Germany;heinrich heine university dusseldorf;TRUE;
Henan Polytechnic University;China;henan polytechnic university;FALSE;
HSE University;Russia;hse university;TRUE;
Humboldt-Universität zu Berlin;Germany;humboldt-universitat zu berlin;TRUE;
Icahn School of Medicine, Mount Sinai;United States;icahn school of medicine, mount sinai;TRUE;
Indian Institute of Technology (Indian School of Mines);India;indian institute of technology (indian school of mines);FALSE;
Indiana University, Bloomington;United States;indiana university, bloomington;TRUE;
Institut National Polytechnique de Toulouse;France;institut national polytechnique de toulouse;TRUE;
Institut Polytechnique de Paris;France;institut polytechnique de paris;TRUE;
Islamic Azad University Science & Research Tehran;Iran;islamic azad university science & research tehran;TRUE;
ITMO University;Russia;itmo university;TRUE;
Jeonbuk National University;South Korea;jeonbuk national university;TRUE;
Johannes Gutenberg University Mainz;Germany;johannes gutenberg university mainz;TRUE;
Johannes Kepler University Linz;Austria;johannes kepler university linz;TRUE;
Jordan University of Science & Technology;Jordan;jordan university of science & technology;TRUE;
Julius-Maximilians-Universität Würzburg;Germany;julius-maximilians-universitat wurzburg;TRUE;
Justus Liebig University Giessen;Germany;justus liebig university giessen;TRUE;
K.N. Toosi University of Technology;Iran;k.n. toosi university of technology;TRUE;
Kazan (Volga region) Federal University;Russia;kazan (volga region) federal university;TRUE;
Khalifa University of Science and Technology (KU);United Arab Emirates;khalifa university of science and technology (ku);TRUE;
Kiel University;Germany;kiel university;TRUE;
Korea Advanced Institute of Science and Technology;South Korea;korea advanced institute of science and technology;TRUE;
KTH Royal Institute of Technology;Sweden;kth royal institute of technology;TRUE;
Kunming University of Science & Technology;China;kunming university of science & technology;TRUE;
Lomonosov Moscow State University;Russia;lomonosov moscow state university;TRUE;
London School of Hygiene & Tropical Medicine;United Kingdom;london school of hygiene & tropical medicine;FALSE;MAG seems not to have this as a separate institution (aggregates towards univ of london)
Londrina State University;Brazil;londrina state university;TRUE;
Ludwig-Maximilians-Universität München;Germany;ludwig-maximilians-universitat munchen;TRUE;
Malek Ashtar University of Technology;Iran;malek ashtar university of technology;TRUE;
Manipal Academy of Higher Education;India;manipal academy of higher education;TRUE;
Martin Luther University Halle-Wittenberg;Germany;martin luther university halle-wittenberg;TRUE;
Medical University of Gdańsk;Poland;medical university of gdansk;TRUE;
Medical University of Innsbruck;Austria;medical university of innsbruck;TRUE;
Miguel Hernández University;Spain;miguel hernandez university;TRUE;
Missouri University of Science & Technology;United States;missouri university of science & technology;TRUE;
Nanjing Tech University;China;nanjing tech university;TRUE;
National Institute of Technology Rourkela;India;national institute of technology rourkela;TRUE;
National Polytechnic Institute, Mexico;Mexico;national polytechnic institute, mexico;TRUE;
National Taiwan University of Science & Technology;Taiwan;national taiwan university of science & technology;TRUE;
National University of Sciences and Technology, Islamabad;Pakistan;national university of sciences and technology, islamabad;TRUE;
