affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
20455151;air liquide;Air Liquide;air liquide;;;
24386293;hellenic national meteorological service;Hellenic National Meteorological Service;hellenic national meteorological service;;;
32956416;catholic university of the west;Catholic University of the West;catholic university of the west;;;
35926432;mackay medical college;Mackay Medical College;mackay medical college;;;
37448385;chinese people s public security university;Chinese People's Public Security University;chinese people's public security university;;;
37712293;madeira interactive technologies institute;Madeira Interactive Technologies Institute;madeira interactive technologies institute;;;
42117203;queen s college london;Queen's College, London;queen's college, london;;;
50614327;amec foster wheeler;Amec Foster Wheeler;amec foster wheeler;;;
62987803;ukrainian state university of finance and international trade;Ukrainian State University of Finance and International Trade;ukrainian state university of finance and international trade;;;
71576600;ural state mining university;Ural State Mining University;ural state mining university;;;
76806421;selex sistemi integrati;SELEX Sistemi Integrati;selex sistemi integrati;;;
78757542;university of newcastle;University of Newcastle;university of newcastle;University of Newcastle;Australia;
80046288;walden university;Walden University;walden university;;;
81020251;great lakes institute of management;Great Lakes Institute of Management;great lakes institute of management;;;
83776822;shandong institute of business and technology;Shandong Institute of Business and Technology;shandong institute of business and technology;;;
84117484;college boreal;Collège Boréal;college boreal;;;
90303723;scientific council for government policy;Scientific Council for Government Policy;scientific council for government policy;;;
94975175;des moines university;Des Moines University;des moines university;;;
95198407;helpage international;HelpAge International;helpage international;;;
98720382;american school of classical studies at athens;American School of Classical Studies at Athens;american school of classical studies at athens;;;
98899809;national bank of belgium;National Bank of Belgium;national bank of belgium;;;
118024222;christ s hospital;Christ's Hospital;christ's hospital;;;
121948355;thanthai periyar government institute of technology;Thanthai Periyar Government Institute of Technology;thanthai periyar government institute of technology;;;
122655420;penang medical college;Penang Medical College;penang medical college;;;
126884977;kansai medical university;Kansai Medical University;kansai medical university;;;
132349299;idexx laboratories;Idexx Laboratories;idexx laboratories;;;
137612387;korean register of shipping;Korean Register of Shipping;korean register of shipping;;;
151854742;faculdade de medicina de marilia;Faculdade de Medicina de Marília;faculdade de medicina de marilia;;;
154099455;shandong university;Shandong University;shandong university;Shandong University;China;
158506100;pennsylvania board of probation and parole;Pennsylvania Board of Probation and Parole;pennsylvania board of probation and parole;;;
162489102;university of batna;University of Batna;university of batna;;;
165644332;jalpaiguri government engineering college;Jalpaiguri Government Engineering College;jalpaiguri government engineering college;;;
167598709;osaka ohtani university;Osaka Ohtani University;osaka ohtani university;;;
178498160;american university in bulgaria;American University in Bulgaria;american university in bulgaria;;;
189460059;el bosque university;El Bosque University;el bosque university;;;
192633058;university of saint joseph;University of Saint Joseph;university of saint joseph;;;
194999787;cancer council queensland;Cancer Council Queensland;cancer council queensland;;;
196652580;swami ramanand teerth marathwada university;Swami Ramanand Teerth Marathwada University;swami ramanand teerth marathwada university;;;
203899302;universiti teknologi petronas;Universiti Teknologi Petronas;universiti teknologi petronas;Universiti Teknologi Petronas;Malaysia;
204250943;gehl architects;Gehl Architects;gehl architects;;;
205665586;rajendra agricultural university;Rajendra Agricultural University;rajendra agricultural university;;;
210716285;university of applied sciences leiden;University of Applied Sciences Leiden;university of applied sciences leiden;;;
282505178;institut d etudes politiques de lille;Institut d'études politiques de Lille;institut d'etudes politiques de lille;;;
865679216;colorado heights university;Colorado Heights University;colorado heights university;;;
874112308;southern technical college;Southern Technical College;southern technical college;;;
880992783;combimatrix;CombiMatrix;combimatrix;;;
898088062;ghana technology university college;Ghana Technology University College;ghana technology university college;;;
926333354;tetra tech;Tetra Tech;tetra tech;;;
1283052075;american legacy foundation;American Legacy Foundation;american legacy foundation;;;
1286341389;chengdu neusoft university;Chengdu Neusoft University;chengdu neusoft university;;;
1288894424;health canada;Health Canada;health canada;;;
1290221998;detroit institute of arts;Detroit Institute of Arts;detroit institute of arts;;;
1292894508;roswell park cancer institute;Roswell Park Cancer Institute;roswell park cancer institute;;;
1299743455;department of labour;Department of Labour (New Zealand);department of labour (new zealand);;;
1303743778;dharamshila cancer hospital and research centre;Dharamshila Cancer Hospital and Research Centre;dharamshila cancer hospital and research centre;;;
1312008915;kuakini medical center;Kuakini Medical Center;kuakini medical center;;;
1316064682;linkedin;LinkedIn;linkedin;;;
1317197149;aids project los angeles;AIDS Project Los Angeles;aids project los angeles;;;
1320898462;brill publishers;Brill Publishers;brill publishers;;;
1322780083;minnesota department of natural resources;Minnesota Department of Natural Resources;minnesota department of natural resources;;;
1324570277;museum of the city of new york;Museum of the City of New York;museum of the city of new york;;;
1330569906;austrian federal economic chamber;Austrian Federal Economic Chamber;austrian federal economic chamber;;;
1336114048;american wind energy association;American Wind Energy Association;american wind energy association;;;
1338359566;thd electronics;THD Electronics;thd electronics;;;
2799483119;society for public health education;Society for Public Health Education;society for public health education;;;
2799823163;art institute of fort lauderdale;Art Institute of Fort Lauderdale;art institute of fort lauderdale;;;
2799845340;special astrophysical observatory;Special Astrophysical Observatory;special astrophysical observatory;;;
2799887408;adventist university of africa;Adventist University of Africa;adventist university of africa;;;
2799949656;nairobi hospital;Nairobi Hospital;nairobi hospital;;;
2800001333;bundang jesaeng hospital;Bundang Jesaeng Hospital;bundang jesaeng hospital;;;
2800096636;riverview psychiatric center;Riverview Psychiatric Center;riverview psychiatric center;;;
2800218097;pikeville medical center;Pikeville Medical Center;pikeville medical center;;;
2800415932;pueblo community college;Pueblo Community College;pueblo community college;;;
2800620903;alberta advanced education;Alberta Advanced Education;alberta advanced education;;;
2800786371;barlow respiratory hospital;Barlow Respiratory Hospital;barlow respiratory hospital;;;
2800804617;laniado hospital;Laniado Hospital;laniado hospital;;;
2800902709;randolph community college;Randolph Community College;randolph community college;;;
2800941160;providence newberg medical center;Providence Newberg Medical Center;providence newberg medical center;;;
2801045957;ssab sweden;SSAB (Sweden);ssab (sweden);;;
2801140561;hanil university;Hanil University;hanil university;;;
2801198184;fraunhofer institute for high speed dynamics ernst mach institut;Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut;fraunhofer institute for high-speed dynamics, ernst-mach-institut;;;
2801395053;kanto junior college;Kanto Junior College;kanto junior college;;;
2801486053;catherine booth hospital;Catherine Booth Hospital;catherine booth hospital;;;
2801523276;belgian federal science policy office;Belgian Federal Science Policy Office;belgian federal science policy office;;;
2801578167;genetics society of america;Genetics Society of America;genetics society of america;;;
2801729525;rex hospital;Rex Hospital;rex hospital;;;
2802057489;moors for the future partnership;Moors for the Future Partnership;moors for the future partnership;;;
2802078327;joint typhoon warning center;Joint Typhoon Warning Center;joint typhoon warning center;;;
2802414496;groupe seb;Groupe SEB;groupe seb;;;
2802706549;consortium of universities for global health;Consortium of Universities for Global Health;consortium of universities for global health;;;
2802932681;accademia di belle arti di napoli;Accademia di Belle Arti di Napoli;accademia di belle arti di napoli;;;
2802957943;georgia department of labor;Georgia Department of Labor;georgia department of labor;;;
2802968421;ashland community hospital;Ashland Community Hospital;ashland community hospital;;;
2802998804;los angeles community college district;Los Angeles Community College District;los angeles community college district;;;
2803016318;gilda s club;Gilda's Club;gilda's club;;;
2803026726;university of utah hospital;University of Utah Hospital;university of utah hospital;;;
2803056085;veer surendra sai medical college and hospital;Veer Surendra Sai Medical College and Hospital;veer surendra sai medical college and hospital;;;
2803059467;memphis zoo;Memphis Zoo;memphis zoo;;;
2830045;indian institute of advanced study;Indian Institute of Advanced Study;indian institute of advanced study;;;
4693666;cgg;CGG;cgg;;;
7377986;takushoku university;Takushoku University;takushoku university;;;
7725651;vector informatik;Vector Informatik;vector informatik;;;
8679417;open university of hong kong;Open University of Hong Kong;open university of hong kong;;;
9623796;cancer council new south wales;Cancer Council New South Wales;cancer council new south wales;;;
10108243;south shields;South Shields;south shields;;;
11617743;anas;ANAS;anas;;;
18014758;simon fraser university;Simon Fraser University;simon fraser university;Simon Fraser University;Canada;
24864189;magnesium elektron;Magnesium Elektron;magnesium elektron;;;
27650515;kobe gakuin university;Kobe Gakuin University;kobe gakuin university;;;
33256026;german research centre for artificial intelligence;German Research Centre for Artificial Intelligence;german research centre for artificial intelligence;;;
33851549;coimbatore medical college;Coimbatore Medical College;coimbatore medical college;;;
38257878;energy biosciences institute;Energy Biosciences Institute;energy biosciences institute;;;
40695006;open geospatial consortium;Open Geospatial Consortium;open geospatial consortium;;;
47987569;cirano;CIRANO;cirano;;;
55931168;cukurova university;Çukurova University;cukurova university;Çukurova University;Turkey;
56691919;christian theological seminary;Christian Theological Seminary;christian theological seminary;;;
58064216;bellevue university;Bellevue University;bellevue university;;;
60205797;abilene christian university;Abilene Christian University;abilene christian university;;;
70277191;institute of technology carlow;Institute of Technology, Carlow;institute of technology, carlow;;;
70865968;rhine waal university of applied sciences;Rhine-Waal University of Applied Sciences;rhine-waal university of applied sciences;;;
75380228;mckinsey company;McKinsey & Company;mckinsey & company;;;
82215649;federal railroad administration;Federal Railroad Administration;federal railroad administration;;;
100633361;university of massachusetts dartmouth;University of Massachusetts Dartmouth;university of massachusetts dartmouth;;;
107558787;shin ansan university;Shin Ansan University;shin ansan university;;;
107740395;sri venkateswara institute of medical sciences;Sri Venkateswara Institute of Medical Sciences;sri venkateswara institute of medical sciences;;;
115301423;hiroshima national college of maritime technology;Hiroshima National College of Maritime Technology;hiroshima national college of maritime technology;;;
119906906;national war college;National War College;national war college;;;
119913878;mount ida college;Mount Ida College;mount ida college;;;
132468318;watkins johnson company;Watkins-Johnson Company;watkins-johnson company;;;
134761920;eads astrium space transportation;EADS Astrium Space Transportation;eads astrium space transportation;;;
135369572;pakistan meteorological department;Pakistan Meteorological Department;pakistan meteorological department;;;
137265193;university of chester;University of Chester;university of chester;;;
138272832;devi ahilya vishwavidyalaya;Devi Ahilya Vishwavidyalaya;devi ahilya vishwavidyalaya;;;
142393192;college of staten island;College of Staten Island;college of staten island;;;
142947616;institute of cancer research;Institute of Cancer Research;institute of cancer research;;;
159360068;university of piura;University of Piura;university of piura;;;
159885104;ecole pratique des hautes etudes;École pratique des hautes études;ecole pratique des hautes etudes;;;
165488957;lingnan university;Lingnan University;lingnan university;;;
169729158;syktyvkar state university;Syktyvkar State University;syktyvkar state university;;;
173457850;narajole raj college;Narajole Raj College;narajole raj college;;;
174110171;skr engineering college;SKR Engineering College;skr engineering college;;;
174689663;universidad de flores;Universidad de Flores;universidad de flores;;;
177208993;gold fields ltd;Gold Fields Ltd.;gold fields ltd.;;;
184908088;korea military academy;Korea Military Academy;korea military academy;;;
187792471;ionian university;Ionian University;ionian university;;;
194019607;university of ioannina;University of Ioannina;university of ioannina;University of Ioannina;Greece;
201487725;university of atacama;University of Atacama;university of atacama;;;
204831749;southwestern university of finance and economics;Southwestern University of Finance and Economics;southwestern university of finance and economics;;;
209822943;ministry of agriculture food security and cooperatives;Ministry of Agriculture, Food Security and Cooperatives;ministry of agriculture, food security and cooperatives;;;
214516754;pioneer natural resources;Pioneer Natural Resources;pioneer natural resources;;;
253757931;sunrise communications ag;Sunrise Communications AG;sunrise communications ag;;;
263512288;scientific university of the south;Scientific University of the South;scientific university of the south;;;
296476524;royal australian and new zealand college of radiologists;Royal Australian and New Zealand College of Radiologists;royal australian and new zealand college of radiologists;;;
865455464;better government association;Better Government Association;better government association;;;
871786723;mbia;MBIA;mbia;;;
876193797;vit university;VIT University;vit university;;;
900890020;university of palermo;University of Palermo;university of palermo;University of Palermo;Italy;
916559398;kindai university;Kindai University;kindai university;Kindai University;Japan;
921011042;amateur athletic union;Amateur Athletic Union;amateur athletic union;;;
922088553;mendel biotechnology inc;Mendel Biotechnology, Inc.;mendel biotechnology, inc.;;;
932542399;brain and creativity institute;Brain and Creativity Institute;brain and creativity institute;;;
1280755829;peace corps;Peace Corps;peace corps;;;
1288214837;united states naval research laboratory;United States Naval Research Laboratory;united states naval research laboratory;;;
1297473319;national portrait gallery london;National Portrait Gallery, London;national portrait gallery, london;;;
1299022934;united states department of health and human services;United States Department of Health and Human Services;united states department of health and human services;;;
1299170990;samarkand state university;Samarkand State University;samarkand state university;;;
1299422453;national institute of statistics and geography;National Institute of Statistics and Geography;national institute of statistics and geography;;;
1308309334;translational research institute;Translational Research Institute;translational research institute;;;
1319399744;secretariat of the pacific community;Secretariat of the Pacific Community;secretariat of the pacific community;;;
1330347796;united states department of defense;United States Department of Defense;united states department of defense;;;
1332948034;cbs laboratories;CBS Laboratories;cbs laboratories;;;
2799360765;thomas jefferson university hospital;Thomas Jefferson University Hospital;thomas jefferson university hospital;;;
2799858192;london school of business and management;London School of Business and Management;london school of business and management;;;
2800116692;mississippi museum of natural science;Mississippi Museum of Natural Science;mississippi museum of natural science;;;
2800139495;science for life laboratory;Science for Life Laboratory;science for life laboratory;;;
2800257984;assiniboine community college;Assiniboine Community College;assiniboine community college;;;
2800378187;inha university in tashkent;Inha University in Tashkent;inha university in tashkent;;;
2800415795;almas hospital;Almas Hospital;almas hospital;;;
2800425962;cpb netherlands bureau for economic policy analysis;CPB Netherlands Bureau for Economic Policy Analysis;cpb netherlands bureau for economic policy analysis;;;
2800447973;university of french guiana;University of French Guiana;university of french guiana;;;
2800638548;kern medical center;Kern Medical Center;kern medical center;;;
2800648773;migraine trust;Migraine Trust;migraine trust;;;
2800650105;donbass state pedagogical university;Donbass State Pedagogical University;donbass state pedagogical university;;;
2800663845;bigelow laboratory for ocean sciences;Bigelow Laboratory For Ocean Sciences;bigelow laboratory for ocean sciences;;;
2800805412;catholic university college of bruges ostend;Catholic University College of Bruges–Ostend;catholic university college of bruges-ostend;;;
2801123574;art academy of cincinnati;Art Academy of Cincinnati;art academy of cincinnati;;;
2801155882;bluegrass community and technical college;Bluegrass Community and Technical College;bluegrass community and technical college;;;
2801204984;youngnam theological university and seminary;Youngnam Theological University and Seminary;youngnam theological university and seminary;;;
2801246515;pih health hospital;PIH Health Hospital;pih health hospital;;;
2801551205;the ohio state university at marion;The Ohio State University at Marion;the ohio state university at marion;;;
2801965753;united states global change research program;United States Global Change Research Program;united states global change research program;;;
2802135278;desert botanical garden;Desert Botanical Garden;desert botanical garden;;;
2802206110;jewish museum;Jewish Museum;jewish museum;;;
2802249273;mallow general hospital;Mallow General Hospital;mallow general hospital;;;
2802249761;catholic distance university;Catholic Distance University;catholic distance university;;;
2802265490;imagine optic france;Imagine Optic (France);imagine optic (france);;;
2802853663;odyssey house;Odyssey House;odyssey house;;;
2802987467;harlem hospital center;Harlem Hospital Center;harlem hospital center;;;
746868;alice lloyd college;Alice Lloyd College;alice lloyd college;;;
6090238;iwate prefectural university;Iwate Prefectural University;iwate prefectural university;;;
10595761;american college of radiology;American College of Radiology;american college of radiology;;;
10902133;james i university;James I University;james i university;;;
11019714;university of a coruna;University of A Coruña;university of a coruna;University of A Coruña;Spain;
13399601;andover newton theological school;Andover Newton Theological School;andover newton theological school;;;
17170469;solvay;Solvay;solvay;;;
24715933;university of la reunion;University of La Réunion;university of la reunion;;;
26402615;raghu engineering college;Raghu Engineering College;raghu engineering college;;;
27963644;hhl leipzig graduate school of management;HHL Leipzig Graduate School of Management;hhl leipzig graduate school of management;;;
28304128;alcoa;Alcoa;alcoa;;;
29739308;guangxi normal university;Guangxi Normal University;guangxi normal university;Guangxi Normal University;China;
31637741;inner mongolia university of science and technology;Inner Mongolia University of Science and Technology;inner mongolia university of science and technology;;;
33003672;indian institute of management indore;Indian Institute of Management Indore;indian institute of management indore;;;
33162209;islamic azad university of lahijan;Islamic Azad University of Lahijan;islamic azad university of lahijan;;;
34771391;university of cyprus;University of Cyprus;university of cyprus;University of Cyprus;Cyprus;
41458283;federal university of tocantins;Federal University of Tocantins;federal university of tocantins;;;
47807185;saigon university;Saigon University;saigon university;;;
55862774;west bengal state university;West Bengal State University;west bengal state university;;;
68376335;rajiv gandhi college of veterinary and animal sciences;Rajiv Gandhi College of Veterinary and Animal Sciences;rajiv gandhi college of veterinary and animal sciences;;;
70745867;kla tencor;KLA-Tencor;kla-tencor;;;
76214153;lanzhou university;Lanzhou University;lanzhou university;Lanzhou University;China;
79238269;university of seville;University of Seville;university of seville;University of Seville;Spain;
88580380;la poste;La Poste;la poste;;;
88713005;fachhochschule flensburg;Fachhochschule Flensburg;fachhochschule flensburg;;;
89470330;merial;Merial;merial;;;
90329211;ulyanovsk state technical university;Ulyanovsk State Technical University;ulyanovsk state technical university;;;
98251732;mcmaster university;McMaster University;mcmaster university;McMaster University;Canada;
99490713;stetson university;Stetson University;stetson university;;;
112429257;kokugakuin tochigi junior college;Kokugakuin Tochigi Junior College;kokugakuin tochigi junior college;;;
115570527;dublin institute of technology;Dublin Institute of Technology;dublin institute of technology;;;
120378409;chelyabinsk state pedagogical university;Chelyabinsk State Pedagogical University;chelyabinsk state pedagogical university;;;
122754167;medigene;MediGene;medigene;;;
126520041;university of science and technology of china;University of Science and Technology of China;university of science and technology of china;University of Science and Technology of China;China;
126688049;the dartmouth institute for health policy and clinical practice;The Dartmouth Institute for Health Policy and Clinical Practice;the dartmouth institute for health policy and clinical practice;;;
137459256;hyogo college of medicine;Hyogo College of Medicine;hyogo college of medicine;;;
137674396;rk university;RK University;rk university;;;
145294602;wessex water;Wessex Water;wessex water;;;
145581781;chongqing technology and business university;Chongqing Technology and Business University;chongqing technology and business university;;;
145824119;ipca laboratories ltd;Ipca Laboratories Ltd.;ipca laboratories ltd.;;;
