journal_title,alt_title,pissn,eissn,language,publisher,country_of_pub,APC,waiver,date_added_to_doaj,APC_in_dollar
Anais da Academia Brasileira de Ciências,Annals of the Brazilian Academy of Sciences,0001-3765,1678-2690,English,Academia Brasileira de Ciências,Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
ACME,NA,0001-494X,2282-0035,Italian,Università degli Studi di Milano,Italy,FALSE,FALSE,2014-12-22T19:55:58Z,NA
Acta Dermato-Venereologica,NA,0001-5555,1651-2057,English,Society for Publication of Acta Dermato-Venereologica,Sweden,TRUE,FALSE,2011-11-10T12:31:05Z,1887.2976
Acta Médica Costarricense,NA,0001-6012,2215-5856,"English, Spanish",Colegio de Médicos y Cirujanos de Costa Rica,Costa Rica,FALSE,FALSE,2020-12-22T11:08:24Z,NA
Acta Mycologica,NA,0001-625X,2353-074X,English,Polish Botanical Society,Poland,TRUE,FALSE,2014-05-29T20:02:32Z,471.8244
Acta Psychologica,NA,0001-6918,1873-6297,English,Elsevier,Netherlands,TRUE,TRUE,2021-02-12T14:34:08Z,1500
Acta Societatis Botanicorum Poloniae,NA,0001-6977,2083-9480,English,Polish Botanical Society,Poland,TRUE,FALSE,2011-08-08T11:56:58Z,613.3717200000001
Acta Stomatologica Croatica,NA,0001-7019,1846-0410,"Croatian, English",University of Zagreb. School of Dental Medicine,Croatia,FALSE,FALSE,2007-05-10T13:55:49Z,NA
Actas Dermo-Sifiliográficas,NA,0001-7310,1578-2190,"English, Spanish",Elsevier,Spain,TRUE,TRUE,2021-04-12T12:42:27Z,2241.1659
Africa Spectrum,NA,0002-0397,1868-6869,English,SAGE Publishing,United Kingdom,FALSE,FALSE,2009-08-04T16:58:51Z,NA
Afro-Ásia,NA,0002-0591,1981-1411,"Portuguese, English, French, Spanish",Universidade Federal da Bahia - Centro de Estudos Afro-Orientais,Brazil,FALSE,FALSE,2021-03-30T18:30:16Z,NA
Revista Alergia México,NA,0002-5151,2448-9190,Spanish,"Colegio Mexicano de Inmunología Clínica y Alergia, A.C.",Mexico,FALSE,FALSE,2018-04-14T13:57:59Z,NA
Alfa: Revista de Lingüística,Alfa,0002-5216,1981-5794,"English, French, Italian, Portuguese, Spanish",Universidade Estadual Paulista Júlio de Mesquita Filho,Brazil,FALSE,FALSE,2009-03-10T14:30:57Z,NA
Journal of the American Society for Horticultural Science,Journal of ASHS,0003-1062,2327-9788,English,American Society for Horticultural Science (ASHS),United States,TRUE,FALSE,2020-06-01T13:34:49Z,3500
Anali Pravnog Fakulteta u Beogradu,NA,0003-2565,2406-2693,English,"University of Belgrade, Faculty of Law, Belgrade, Serbia",Serbia,FALSE,FALSE,2018-02-26T13:49:33Z,NA
Análise Social,NA,0003-2573,2182-2999,"English, Portuguese",Instituto de Ciências Sociais da Universidade de Lisboa,Portugal,FALSE,FALSE,2009-11-27T12:41:17Z,NA
Angle Orthodontist,NA,0003-3219,NA,English,E.H Angle Education and Research Foundation,United States,FALSE,FALSE,2004-04-02T10:05:20Z,NA
Archeologia Polski,NA,0003-8180,2719-7034,"Polish, English, German",Institute of Archaeology and Ethnology Polish Academy of Sciences,Poland,FALSE,FALSE,2021-06-14T12:39:20Z,NA
Archives Animal Breeding,Archiv Tierzucht,0003-9438,2363-9822,English,Copernicus Publications,Germany,TRUE,TRUE,2015-12-09T14:28:11Z,283.09464
Archivo Español de Arte,NA,0004-0428,1988-8511,"English, Spanish",Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2010-07-26T16:27:11Z,NA
Archivos de Pediatría del Uruguay,Publicación Oficial de la Sociedad Uruguaya de Pediatría,0004-0584,1688-1249,Spanish,Sociedad Uruguaya de Pediatría,Uruguay,FALSE,FALSE,2020-11-10T20:04:23Z,NA
Archivos de Zootecnia,NA,0004-0592,1885-4494,"English, French, Italian, Portuguese, Spanish",Universidad de Córdoba,Spain,FALSE,FALSE,2005-06-30T13:38:44Z,NA
Arhiv za farmaciju,NA,0004-1963,2217-8767,Serbian,"Pharmaceutical Association of Serbia, Belgrade, Serbia",Serbia,FALSE,FALSE,2018-06-21T09:10:35Z,NA
