affiliationid,normalizedname,displayname,university_normalized,University,Country
20455151,air liquide,Air Liquide,air liquide,NA,NA
24386293,hellenic national meteorological service,Hellenic National Meteorological Service,hellenic national meteorological service,NA,NA
32956416,catholic university of the west,Catholic University of the West,catholic university of the west,NA,NA
35926432,mackay medical college,Mackay Medical College,mackay medical college,NA,NA
37448385,chinese people s public security university,Chinese People's Public Security University,chinese people's public security university,NA,NA
37712293,madeira interactive technologies institute,Madeira Interactive Technologies Institute,madeira interactive technologies institute,NA,NA
42117203,queen s college london,"Queen's College, London","queen's college, london",NA,NA
50614327,amec foster wheeler,Amec Foster Wheeler,amec foster wheeler,NA,NA
62987803,ukrainian state university of finance and international trade,Ukrainian State University of Finance and International Trade,ukrainian state university of finance and international trade,NA,NA
71576600,ural state mining university,Ural State Mining University,ural state mining university,NA,NA
76806421,selex sistemi integrati,SELEX Sistemi Integrati,selex sistemi integrati,NA,NA
78757542,university of newcastle,University of Newcastle,university of newcastle,University of Newcastle,Australia
80046288,walden university,Walden University,walden university,NA,NA
81020251,great lakes institute of management,Great Lakes Institute of Management,great lakes institute of management,NA,NA
83776822,shandong institute of business and technology,Shandong Institute of Business and Technology,shandong institute of business and technology,NA,NA
84117484,college boreal,Collège Boréal,college boreal,NA,NA
90303723,scientific council for government policy,Scientific Council for Government Policy,scientific council for government policy,NA,NA
94975175,des moines university,Des Moines University,des moines university,NA,NA
95198407,helpage international,HelpAge International,helpage international,NA,NA
98720382,american school of classical studies at athens,American School of Classical Studies at Athens,american school of classical studies at athens,NA,NA
98899809,national bank of belgium,National Bank of Belgium,national bank of belgium,NA,NA
118024222,christ s hospital,Christ's Hospital,christ's hospital,NA,NA
121948355,thanthai periyar government institute of technology,Thanthai Periyar Government Institute of Technology,thanthai periyar government institute of technology,NA,NA
122655420,penang medical college,Penang Medical College,penang medical college,NA,NA
126884977,kansai medical university,Kansai Medical University,kansai medical university,NA,NA
132349299,idexx laboratories,Idexx Laboratories,idexx laboratories,NA,NA
137612387,korean register of shipping,Korean Register of Shipping,korean register of shipping,NA,NA
151854742,faculdade de medicina de marilia,Faculdade de Medicina de Marília,faculdade de medicina de marilia,NA,NA
154099455,shandong university,Shandong University,shandong university,Shandong University,China
158506100,pennsylvania board of probation and parole,Pennsylvania Board of Probation and Parole,pennsylvania board of probation and parole,NA,NA
162489102,university of batna,University of Batna,university of batna,NA,NA
165644332,jalpaiguri government engineering college,Jalpaiguri Government Engineering College,jalpaiguri government engineering college,NA,NA
167598709,osaka ohtani university,Osaka Ohtani University,osaka ohtani university,NA,NA
178498160,american university in bulgaria,American University in Bulgaria,american university in bulgaria,NA,NA
189460059,el bosque university,El Bosque University,el bosque university,NA,NA
192633058,university of saint joseph,University of Saint Joseph,university of saint joseph,NA,NA
194999787,cancer council queensland,Cancer Council Queensland,cancer council queensland,NA,NA
196652580,swami ramanand teerth marathwada university,Swami Ramanand Teerth Marathwada University,swami ramanand teerth marathwada university,NA,NA
203899302,universiti teknologi petronas,Universiti Teknologi Petronas,universiti teknologi petronas,Universiti Teknologi Petronas,Malaysia
204250943,gehl architects,Gehl Architects,gehl architects,NA,NA
205665586,rajendra agricultural university,Rajendra Agricultural University,rajendra agricultural university,NA,NA
210716285,university of applied sciences leiden,University of Applied Sciences Leiden,university of applied sciences leiden,NA,NA
282505178,institut d etudes politiques de lille,Institut d'études politiques de Lille,institut d'etudes politiques de lille,NA,NA
865679216,colorado heights university,Colorado Heights University,colorado heights university,NA,NA
874112308,southern technical college,Southern Technical College,southern technical college,NA,NA
880992783,combimatrix,CombiMatrix,combimatrix,NA,NA
898088062,ghana technology university college,Ghana Technology University College,ghana technology university college,NA,NA
926333354,tetra tech,Tetra Tech,tetra tech,NA,NA
1283052075,american legacy foundation,American Legacy Foundation,american legacy foundation,NA,NA
1286341389,chengdu neusoft university,Chengdu Neusoft University,chengdu neusoft university,NA,NA
1288894424,health canada,Health Canada,health canada,NA,NA
1290221998,detroit institute of arts,Detroit Institute of Arts,detroit institute of arts,NA,NA
1292894508,roswell park cancer institute,Roswell Park Cancer Institute,roswell park cancer institute,NA,NA
1299743455,department of labour,Department of Labour (New Zealand),department of labour (new zealand),NA,NA
