University,Country,university_normalized
All India Institute of Medical Science,India,all india institute of medical science
Army Medical University,China,army medical university
Augusta University,United States,augusta university
Autonomous University of Nuevo Leon,Mexico,autonomous university of nuevo leon
Babeș-Bolyai University,Romania,babes-bolyai university
Beijing University of Posts & Telecommunications,China,beijing university of posts & telecommunications
"Binghamton University, State University of New York",United States,"binghamton university, state university of new york"
Carl von Ossietzky University of Oldenburg,Germany,carl von ossietzky university of oldenburg
Carlos III University of Madrid,Spain,carlos iii university of madrid
Changzhou University,China,changzhou university
Charles University,Czech Republic,charles university
China Academy of Chinese Medical Sciences,China,china academy of chinese medical sciences
China Medical University,China,china medical university
"China Medical University, Taiwan",Taiwan,"china medical university, taiwan"
China University of Petroleum Beijing,China,china university of petroleum beijing
China University of Petroleum East China,China,china university of petroleum east china
Chinese University of Hong Kong,China,chinese university of hong kong
"City, University London",United Kingdom,"city, university london"
Claude Bernard Lyon 1 University,France,claude bernard lyon 1 university
College of William and Mary,United States,college of william and mary
Eberhard Karls University of Tübingen,Germany,eberhard karls university of tubingen
Eidgenössische Technische Hochschule Zürich,Switzerland,eidgenossische technische hochschule zurich
Federal University of Lavras,Brazil,federal university of lavras
Federal University of Mato Grosso,Brazil,federal university of mato grosso
Federal University of Pelotas,Brazil,federal university of pelotas
Federal University of Rio Grande do Sul,Brazil,federal university of rio grande do sul
Federal University of Santa Maria,Brazil,federal university of santa maria
Freie Universität Berlin,Germany,freie universitat berlin
Friedrich Schiller University Jena,Germany,friedrich schiller university jena
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,friedrich-alexander-universitat erlangen-nurnberg
Gabriele D'Annunzio University,Italy,gabriele d'annunzio university
Georg-August-Universität Göttingen,Germany,georg-august-universitat gottingen
Gottfried Wilhelm Leibniz Universität Hannover,Germany,gottfried wilhelm leibniz universitat hannover
Gwangju Institute of Science & Technology,South Korea,gwangju institute of science & technology
Hasselt University,Belgium,hasselt university
Heinrich Heine University Düsseldorf,Germany,heinrich heine university dusseldorf
Henan Polytechnic University,China,henan polytechnic university
HSE University,Russia,hse university
Humboldt-Universität zu Berlin,Germany,humboldt-universitat zu berlin
"Icahn School of Medicine, Mount Sinai",United States,"icahn school of medicine, mount sinai"
Indian Institute of Technology (Indian School of Mines),India,indian institute of technology (indian school of mines)
"Indiana University, Bloomington",United States,"indiana university, bloomington"
Institut National Polytechnique de Toulouse,France,institut national polytechnique de toulouse
Institut Polytechnique de Paris,France,institut polytechnique de paris
Islamic Azad University Science & Research Tehran,Iran,islamic azad university science & research tehran
ITMO University,Russia,itmo university
Jeonbuk National University,South Korea,jeonbuk national university
Johannes Gutenberg University Mainz,Germany,johannes gutenberg university mainz
Johannes Kepler University Linz,Austria,johannes kepler university linz
Jordan University of Science & Technology,Jordan,jordan university of science & technology
Julius-Maximilians-Universität Würzburg,Germany,julius-maximilians-universitat wurzburg
Justus Liebig University Giessen,Germany,justus liebig university giessen
K.N. Toosi University of Technology,Iran,k.n. toosi university of technology
Kazan (Volga region) Federal University,Russia,kazan (volga region) federal university
Khalifa University of Science and Technology (KU),United Arab Emirates,khalifa university of science and technology (ku)
Kiel University,Germany,kiel university
Korea Advanced Institute of Science and Technology,South Korea,korea advanced institute of science and technology
KTH Royal Institute of Technology,Sweden,kth royal institute of technology
Kunming University of Science & Technology,China,kunming university of science & technology
Lomonosov Moscow State University,Russia,lomonosov moscow state university
London School of Hygiene & Tropical Medicine,United Kingdom,london school of hygiene & tropical medicine
Londrina State University,Brazil,londrina state university
Ludwig-Maximilians-Universität München,Germany,ludwig-maximilians-universitat munchen
Malek Ashtar University of Technology,Iran,malek ashtar university of technology
Manipal Academy of Higher Education,India,manipal academy of higher education
Martin Luther University Halle-Wittenberg,Germany,martin luther university halle-wittenberg
Medical University of Gdańsk,Poland,medical university of gdansk
Medical University of Innsbruck,Austria,medical university of innsbruck
Miguel Hernández University,Spain,miguel hernandez university
Missouri University of Science & Technology,United States,missouri university of science & technology
Nanjing Tech University,China,nanjing tech university
National Institute of Technology Rourkela,India,national institute of technology rourkela
"National Polytechnic Institute, Mexico",Mexico,"national polytechnic institute, mexico"
National Taiwan University of Science & Technology,Taiwan,national taiwan university of science & technology
"National University of Sciences and Technology, Islamabad",Pakistan,"national university of sciences and technology, islamabad"
"Northeastern University, USA",United States,"northeastern university, usa"
Northwest Agriculture & Forestry University,China,northwest agriculture & forestry university
Northwest University,China,northwest university
"Oklahoma State University, Stillwater",United States,"oklahoma state university, stillwater"
Otto von Guericke University Magdeburg,Germany,otto von guericke university magdeburg
Paderborn University,Germany,paderborn university
Palacký University Olomouc,Czech Republic,palacky university olomouc
Panjab University,India,panjab university
People's Liberation Army University of Science and Technology,China,people's liberation army university of science and technology
Philipps-Universität Marburg,Germany,philipps-universitat marburg
Politecnico di Milano,Italy,politecnico di milano
Politecnico di Torino,Italy,politecnico di torino
Polytechnic University of Bucharest,Romania,polytechnic university of bucharest
Pontificia Universidad Católica de Chile,Chile,pontificia universidad catolica de chile
Postgraduate Institute of Medical Education & Research,India,postgraduate institute of medical education & research
Poznań University of Life Sciences,Poland,poznan university of life sciences
"Purdue University, West Lafayette",United States,"purdue university, west lafayette"
Qingdao University of Science & Technology,China,qingdao university of science & technology
Radboud University,Netherlands,radboud university
Rey Juan Carlos University,Spain,rey juan carlos university
Ruhr-Universität Bochum,Germany,ruhr-universitat bochum
"Rutgers, The State University of New Jersey",United States,"rutgers, the state university of new jersey"
Samsun Ondokuz Mayis University,Turkey,samsun ondokuz mayis university
Shaanxi University of Science & Technology,China,shaanxi university of science & technology
Shahid Beheshti University of Medical Sciences,Iran,shahid beheshti university of medical sciences
Shahid Chamran University of Ahwaz,Iran,shahid chamran university of ahwaz
Shanghai University of Traditional Chinese Medicine,China,shanghai university of traditional chinese medicine
Shiraz University of Medical Science,Iran,shiraz university of medical science
Soochow University,China,soochow university
Sorbonne University,France,sorbonne university
"Southern Illinois University, Carbondale",United States,"southern illinois university, carbondale"
Southern University of Science and Technology,China,southern university of science and technology
SRM Institute of Science and Technology,India,srm institute of science and technology
St Louis University,United States,st louis university
State University of Maringá,Brazil,state university of maringa
"Stony Brook University, The State University of New York",United States,"stony brook university, the state university of new york"
Tabriz University of Medical Sciences (TUOMS),Iran,tabriz university of medical sciences (tuoms)
Technical University of Munich,Germany,technical university of munich
"Technion, Israel Institute of Technology",Israel,"technion, israel institute of technology"
Technische Universität Bergakademie Freiberg,Germany,technische universitat bergakademie freiberg
Technische Universität Berlin,Germany,technische universitat berlin
Technische Universität Braunschweig,Germany,technische universitat braunschweig
Technische Universität Dresden,Germany,technische universitat dresden
Technische Universität Kaiserslautern,Germany,technische universitat kaiserslautern
"Texas A&M University, College Station",United States,"texas a&m university, college station"
Thapar Institute of Engineering and Technology,India,thapar institute of engineering and technology
"The Graduate Center, City University of New York",United States,"the graduate center, city university of new york"
The Hebrew University of Jerusalem,Israel,the hebrew university of jerusalem
The Open University,United Kingdom,the open university
The University of Edinburgh,United Kingdom,the university of edinburgh
The University of Manchester,United Kingdom,the university of manchester
The University of Sheffield,United Kingdom,the university of sheffield
The University of Warwick,United Kingdom,the university of warwick
Tokushima University,Japan,tokushima university
Tokyo Women's Medical University,Japan,tokyo women's medical university
"Trinity College Dublin, The University of Dublin",Ireland,"trinity college dublin, the university of dublin"
TU Dortmund University,Germany,tu dortmund university
Ulm University,Germany,ulm university
Universidad Autónoma de Madrid,Spain,universidad autonoma de madrid
Universidad de Concepción,Chile,universidad de concepcion
Universidad de La Laguna,Spain,universidad de la laguna
Universidad de la República,Uruguay,universidad de la republica
Universidad Nacional de Colombia,Colombia,universidad nacional de colombia
Universidad Nacional de La Plata,Argentina,universidad nacional de la plata
Universidade de Brasília,Brazil,universidade de brasilia
Universidade de Lisboa,Portugal,universidade de lisboa
Universidade Estadual Paulista,Brazil,universidade estadual paulista
Universidade Federal da Bahia,Brazil,universidade federal da bahia
Universidade Federal de São Paulo,Brazil,universidade federal de sao paulo
Universidade Federal do Ceará,Brazil,universidade federal do ceara
Universidade Federal do Paraná,Brazil,universidade federal do parana
Universidade Federal do Rio de Janeiro,Brazil,universidade federal do rio de janeiro
Universidade Federal Fluminense,Brazil,universidade federal fluminense
Università Cattolica del Sacro Cuore,Italy,universita cattolica del sacro cuore
Università del Salento,Italy,universita del salento
Università Politecnica delle Marche,Italy,universita politecnica delle marche
Universitat Autònoma de Barcelona,Spain,universitat autonoma de barcelona
Universität Hamburg,Germany,universitat hamburg
Universitat Jaume I,Spain,universitat jaume i
"Universitat Politècnica de Catalunya, BarcelonaTech",Spain,"universitat politecnica de catalunya, barcelonatech"
Universitat Politècnica de València,Spain,universitat politecnica de valencia
Universität Regensburg,Germany,universitat regensburg
Universität zu Lübeck,Germany,universitat zu lubeck
Université Côte d’Azur,France,universite cote d'azur
Université de Lorraine,France,universite de lorraine
Université de Nantes,France,universite de nantes
